iter	Passed	Remaining
0	1	139
1	3	191
2	5	172
3	6	145
4	7	135
5	8	133
6	9	127
7	10	120
8	11	115
9	12	111
10	13	110
11	15	116
12	16	113
13	17	110
14	19	110
15	20	109
16	21	106
17	22	104
18	23	101
19	24	99
20	26	98
21	27	97
22	28	96
23	30	97
24	32	96
25	33	94
26	34	92
27	35	90
28	36	88
29	37	87
30	38	86
31	39	84
32	40	83
33	42	81
34	44	82
35	45	81
36	46	79
37	47	78
38	48	76
39	50	75
40	51	74
41	51	71
42	52	69
43	53	68
44	54	66
45	56	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	63	59
52	64	57
53	65	56
54	66	54
55	68	53
56	69	52
57	70	51
58	72	50
59	74	49
60	75	48
61	76	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	86	37
70	88	36
71	89	34
72	91	33
73	93	32
74	94	31
75	96	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	112	13
89	113	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	122	5
96	125	3
97	127	2
98	129	1
99	130	0
